window_id,window_group,duration_years,requested_start,requested_end,start_month_num,complete_window,terminal_near_complete,comparison,left_arm,right_arm,left_end_equity,right_end_equity,left_return_pct,right_return_pct,delta_return_pct,left_max_dd_pct,right_max_dd_pct,dd_worsening_pp,left_sharpe,right_sharpe,delta_sharpe,left_slippage,right_slippage,left_trades,right_trades,left_win_rate_pct,right_win_rate_pct,left_survival_pass,right_survival_pass,left_broker100_pass,right_broker100_pass,left_broker10_peak_pct,right_broker10_peak_pct,left_days_over_100pct,right_days_over_100pct,return_win,right_positive,left_positive,dd_noninferior_2pp,sharpe_noninferior_005,left_dd40_fail,right_dd40_fail,left_dd50_fail,right_dd50_fail
roll_2y_2022_06,rolling_2y,2,2022-06-01,2024-05-31,6,1,0,C_vs_P,C,P,252405.0,254865.0,68.27000000000001,69.91000000000001,1.6400000000000006,-50.87968855281875,-52.901100546529925,2.021411993711176,0.8472721368561048,0.8547694816134521,0.007497344757347313,12100.0,12050.0,142,142,50.378787878787875,50.95057034220533,1,1,1,1,74.52611476443565,74.71771721145141,0,0,1,1,1,0,1,1,1,1,1
roll_2y_2022_06,rolling_2y,2,2022-06-01,2024-05-31,6,1,0,A_vs_Q,A,Q,256045.0,254865.0,70.69666666666667,69.91000000000001,-0.7866666666666617,-50.299468443512765,-52.901100546529925,2.6016321030171596,0.8671433036432954,0.8547694816134521,-0.012373822029843273,11970.0,12050.0,138,142,50.57034220532319,50.95057034220533,1,1,1,1,73.2633704283142,74.71771721145141,0,0,0,1,1,0,1,1,1,1,1
roll_2y_2022_06,rolling_2y,2,2022-06-01,2024-05-31,6,1,0,C_vs_Q,C,Q,252405.0,254865.0,68.27000000000001,69.91000000000001,1.6400000000000006,-50.87968855281875,-52.901100546529925,2.021411993711176,0.8472721368561048,0.8547694816134521,0.007497344757347313,12100.0,12050.0,142,142,50.378787878787875,50.95057034220533,1,1,1,1,74.52611476443565,74.71771721145141,0,0,1,1,1,0,1,1,1,1,1
roll_2y_2022_06,rolling_2y,2,2022-06-01,2024-05-31,6,1,0,P_vs_Q,P,Q,254865.0,254865.0,69.91000000000001,69.91000000000001,0.0,-52.901100546529925,-52.901100546529925,0.0,0.8547694816134521,0.8547694816134521,0.0,12050.0,12050.0,142,142,50.95057034220533,50.95057034220533,1,1,1,1,74.71771721145141,74.71771721145141,0,0,1,1,1,1,1,1,1,1,1
roll_2y_2023_01,rolling_2y,2,2023-01-01,2024-12-31,1,1,0,A_vs_C,A,C,225800.00000000003,231565.00000000003,50.53333333333336,54.376666666666694,3.8433333333333337,-24.468997361477573,-24.468997361477573,0.0,0.883901042430412,0.9282790121541392,0.044377969723727206,10370.0,10660.0,141,143,52.51572327044025,52.83018867924528,1,1,1,1,59.969616274501256,61.560416330482504,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2023_01,rolling_2y,2,2023-01-01,2024-12-31,1,1,0,A_vs_P,A,P,225800.00000000003,231375.00000000003,50.53333333333336,54.25000000000002,3.7166666666666615,-24.468997361477573,-26.401715039577834,1.9327176781002606,0.883901042430412,0.9160902321169768,0.03218918968656481,10370.0,10770.0,141,144,52.51572327044025,52.83018867924528,1,1,1,1,59.969616274501256,59.137537117903925,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2023_01,rolling_2y,2,2023-01-01,2024-12-31,1,1,0,C_vs_P,C,P,231565.00000000003,231375.00000000003,54.376666666666694,54.25000000000002,-0.12666666666667226,-24.468997361477573,-26.401715039577834,1.9327176781002606,0.9282790121541392,0.9160902321169768,-0.012188780037162394,10660.0,10770.0,143,144,52.83018867924528,52.83018867924528,1,1,1,1,61.560416330482504,59.137537117903925,0,0,0,1,1,1,1,0,0,0,0
roll_2y_2023_01,rolling_2y,2,2023-01-01,2024-12-31,1,1,0,A_vs_Q,A,Q,225800.00000000003,231375.00000000003,50.53333333333336,54.25000000000002,3.7166666666666615,-24.468997361477573,-26.401715039577834,1.9327176781002606,0.883901042430412,0.9160902321169768,0.03218918968656481,10370.0,10770.0,141,144,52.51572327044025,52.83018867924528,1,1,1,1,59.969616274501256,59.137537117903925,0,0,1,1,1,1,1,0,0,0,0
roll_2y_2023_01,rolling_2y,2,2023-01-01,2024-12-31,1,1,0,C_vs_Q,C,Q,231565.00000000003,231375.00000000003,54.376666666666694,54.25000000000002,-0.12666666666667226,-24.468997361477573,-26.401715039577834,1.9327176781002606,0.9282790121541392,0.9160902321169768,-0.012188780037162394,10660.0,10770.0,143,144,52.83018867924528,52.83018867924528,1,1,1,1,61.560416330482504,59.137537117903925,0,0,0,1,1,1,1,0,0,0,0
roll_2y_2023_01,rolling_2y,2,2023-01-01,2024-12-31,1,1,0,P_vs_Q,P,Q,231375.00000000003,231375.00000000003,54.25000000000002,54.25000000000002,0.0,-26.401715039577834,-26.401715039577834,0.0,0.9160902321169768,0.9160902321169768,0.0,10770.0,10770.0,144,144,52.83018867924528,52.83018867924528,1,1,1,1,59.137537117903925,59.137537117903925,0,0,1,1,1,1,1,0,0,0,0
