diagnostic_index,datetime,date,contract_vt_symbol,product_vt_symbol,direction,entry_context,long_signal_range_atr_enabled,long_signal_range_lookback,long_signal_range_atr_period,long_signal_range_atr_multiplier,long_signal_range_atr_entry_context,long_signal_range_atr_direction,long_signal_range_high,long_signal_range_low,long_signal_range_value,long_signal_range_prior_atr,long_signal_range_atr_threshold,long_signal_range_atr_condition_met,long_signal_range_atr_reason,long_signal_range_atr_blocked,long_signal_range_atr_selected_volume_before,long_signal_range_atr_selected_volume_after,profile,start_month,variant,account_capital,c3_capital,experiment_arm
45,2019-01-30 00:00:00+08:00,2019-01-30,CF905.CZCE,CF.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,15480.0,15030.0,450.0,114.0,342.0,1,range_strictly_above_threshold,1,3,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
46,2019-02-11 00:00:00+08:00,2019-02-11,au1906.SHFE,au.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,289.3,282.3,7.0,1.8899999999999864,5.669999999999959,1,range_strictly_above_threshold,1,1,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
47,2019-02-11 00:00:00+08:00,2019-02-11,fu1905.SHFE,fu.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,2840.0,2645.0,195.0,75.4,226.20000000000002,0,range_not_above_threshold,0,8,8,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
48,2019-02-12 00:00:00+08:00,2019-02-12,sp1906.SHFE,sp.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,5540.0,5280.0,260.0,103.6,310.79999999999995,0,range_not_above_threshold,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
49,2019-02-19 00:00:00+08:00,2019-02-19,OI905.CZCE,OI.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,6796.0,6636.0,160.0,59.4,178.2,0,range_not_above_threshold,0,3,3,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
50,2019-02-19 00:00:00+08:00,2019-02-19,ru1905.SHFE,ru.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,12425.0,11235.0,1190.0,265.0,795.0,1,range_strictly_above_threshold,1,1,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
51,2019-02-21 00:00:00+08:00,2019-02-21,sp1906.SHFE,sp.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,5622.0,5352.0,270.0,90.0,270.0,0,range_not_above_threshold,0,6,6,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
52,2019-02-22 00:00:00+08:00,2019-02-22,hc1905.SHFE,hc.SHFE,long,flat_entry,1,10,5,3.0,flat_entry,long,3840.0,3531.0,309.0,76.4,229.20000000000002,1,range_strictly_above_threshold,1,2,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
53,2019-02-26 00:00:00+08:00,2019-02-26,MA905.CZCE,MA.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,2585.0,2435.0,150.0,42.2,126.60000000000001,1,range_strictly_above_threshold,1,3,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
54,2019-03-01 00:00:00+08:00,2019-03-01,MA905.CZCE,MA.CZCE,long,flat_entry,1,10,5,3.0,flat_entry,long,2648.0,2435.0,213.0,49.0,147.0,1,range_strictly_above_threshold,1,9,0,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
