trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2017-11-24,2017-11-24T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-27,2017-11-27T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-28,2017-11-28T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-29,2017-11-29T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-11-30,2017-11-30T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-01,2017-12-01T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-04,2017-12-04T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-05,2017-12-05T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-06,2017-12-06T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-07,2017-12-07T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-08,2017-12-08T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-11,2017-12-11T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-12,2017-12-12T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-13,2017-12-13T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-14,2017-12-14T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-15,2017-12-15T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-18,2017-12-18T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-19,2017-12-19T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-20,2017-12-20T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-21,2017-12-21T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-22,2017-12-22T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-25,2017-12-25T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-26,2017-12-26T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-27,2017-12-27T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-28,2017-12-28T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2017-12-29,2017-12-29T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-02,2018-01-02T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
2018-01-03,2018-01-03T00:00:00+08:00,fu1804,SHFE,4317.0,4317.0,4317.0,4317.0,0.0,0.0
