diagnostic_index,date,product_vt_symbol,old_contract_vt_symbol,target_contract_vt_symbol,signal_date,elapsed_trading_days,required_trading_days,status,profile,start_month,variant,account_capital,c3_capital,experiment_arm
55,2021-08-09,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
56,2021-08-10,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
57,2021-08-11,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
58,2021-08-12,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
59,2021-08-13,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
60,2021-08-16,ru.SHFE,ru2109.SHFE,ru2201.SHFE,2021-08-09,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
61,2021-11-24,ru.SHFE,ru2201.SHFE,ru2205.SHFE,2021-11-24,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
62,2021-11-25,ru.SHFE,ru2201.SHFE,ru2205.SHFE,2021-11-24,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
63,2021-11-26,ru.SHFE,ru2201.SHFE,ru2205.SHFE,2021-11-24,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
64,2022-12-14,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
65,2022-12-15,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
66,2022-12-16,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
67,2022-12-19,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
68,2022-12-20,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
69,2022-12-21,lh.DCE,lh2301.DCE,lh2303.DCE,2022-12-14,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
70,2023-07-19,SM.CZCE,SM309.CZCE,SM310.CZCE,2023-07-19,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
71,2023-08-14,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
72,2023-08-15,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
73,2023-08-16,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
74,2023-08-17,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
75,2023-08-18,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
76,2023-08-21,fu.SHFE,fu2309.SHFE,fu2310.SHFE,2023-08-14,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
77,2024-08-06,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
78,2024-08-07,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
79,2024-08-08,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
80,2024-08-09,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
81,2024-08-12,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
82,2024-08-13,lh.DCE,lh2409.DCE,lh2411.DCE,2024-08-06,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
83,2024-12-16,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
84,2024-12-17,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
85,2024-12-18,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
86,2024-12-19,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
87,2024-12-20,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
88,2024-12-23,si.GFEX,si2501.GFEX,si2502.GFEX,2024-12-16,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
89,2025-02-13,fu.SHFE,fu2503.SHFE,fu2505.SHFE,2025-02-13,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
90,2025-04-03,ru.SHFE,ru2505.SHFE,ru2509.SHFE,2025-04-03,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
91,2025-04-07,ru.SHFE,ru2505.SHFE,ru2509.SHFE,2025-04-03,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
92,2025-04-15,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
93,2025-04-16,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
94,2025-04-17,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
95,2025-04-18,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,3,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
96,2025-04-21,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,4,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
97,2025-04-22,AP.CZCE,AP505.CZCE,AP510.CZCE,2025-04-15,5,5,due,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
98,2025-08-20,fu.SHFE,fu2509.SHFE,fu2510.SHFE,2025-08-20,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
99,2025-08-21,fu.SHFE,fu2509.SHFE,fu2510.SHFE,2025-08-20,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
100,2025-08-22,fu.SHFE,fu2509.SHFE,fu2510.SHFE,2025-08-20,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
101,2026-04-17,sp.SHFE,sp2605.SHFE,sp2609.SHFE,2026-04-17,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
102,2026-08-21,fu.SHFE,fu2609.SHFE,fu2611.SHFE,2026-08-21,0,5,scheduled,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
103,2026-08-24,fu.SHFE,fu2609.SHFE,fu2611.SHFE,2026-08-21,1,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
104,2026-08-25,fu.SHFE,fu2609.SHFE,fu2611.SHFE,2026-08-21,2,5,waiting,stage034_B_stage033_ordered_drawdown_3atr,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,B
1,2018-08-16,SM.CZCE,SM809.CZCE,SM901.CZCE,2018-08-16,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
2,2018-08-17,SM.CZCE,SM809.CZCE,SM901.CZCE,2018-08-16,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
3,2018-08-20,SM.CZCE,SM809.CZCE,SM901.CZCE,2018-08-16,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
4,2018-08-21,SM.CZCE,SM809.CZCE,SM901.CZCE,2018-08-16,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
5,2018-08-22,SM.CZCE,SM809.CZCE,SM901.CZCE,2018-08-16,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
6,2018-08-23,SM.CZCE,SM809.CZCE,SM901.CZCE,2018-08-16,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
7,2019-04-04,hc.SHFE,hc1905.SHFE,hc1910.SHFE,2019-04-04,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
8,2019-04-08,hc.SHFE,hc1905.SHFE,hc1910.SHFE,2019-04-04,1,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
9,2019-04-09,hc.SHFE,hc1905.SHFE,hc1910.SHFE,2019-04-04,2,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
10,2019-04-10,hc.SHFE,hc1905.SHFE,hc1910.SHFE,2019-04-04,3,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
11,2019-04-11,hc.SHFE,hc1905.SHFE,hc1910.SHFE,2019-04-04,4,5,waiting,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
12,2019-04-12,AP.CZCE,AP905.CZCE,AP910.CZCE,2019-04-12,0,5,scheduled,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
13,2019-04-12,hc.SHFE,hc1905.SHFE,hc1910.SHFE,2019-04-04,5,5,due,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
