date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num,experiment_arm
2024-08-13,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6554496.400000002,43.69664266666668,-4.838993208335829,16.713631881772027,-31360.0,0,0.0,stage772_am40_80_120_oi_monthly,6554496.400000002,43.69664266666668,16.713631881772027,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-14,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6673216.400000002,44.48810933333335,-3.115365024436556,16.65112253815116,118720.0,0,0.0,stage772_am40_80_120_oi_monthly,6673216.400000002,44.48810933333335,16.65112253815116,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-15,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6646336.400000002,44.30890933333335,-3.5056204623005405,16.66508002814904,-26880.0,0,0.0,stage772_am40_80_120_oi_monthly,6646336.400000002,44.30890933333335,16.66508002814904,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-16,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6583616.400000002,43.89077600000002,-4.416216483983182,16.698090733232874,-62720.0,0,0.0,stage772_am40_80_120_oi_monthly,6583616.400000002,43.89077600000002,16.698090733232874,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-19,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6545536.400000002,43.63690933333335,-4.96907835429049,16.718441593266515,-38080.0,0,0.0,stage772_am40_80_120_oi_monthly,6545536.400000002,43.63690933333335,16.718441593266515,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-20,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6552256.400000002,43.68170933333335,-4.871514494824492,0.0,6720.0,1,2240.0,stage772_am40_80_120_oi_monthly,6552256.400000002,43.68170933333335,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-21,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6552256.400000002,43.68170933333335,-4.871514494824492,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6552256.400000002,43.68170933333335,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-22,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6552256.400000002,43.68170933333335,-4.871514494824492,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,6552256.400000002,43.68170933333335,0.0,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-23,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6707506.400000002,44.71670933333335,-2.617528009393544,37.00227554013216,155250.0,1,5750.0,stage772_am40_80_120_oi_monthly,6707506.400000002,44.71670933333335,37.00227554013216,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-26,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6811006.400000002,45.406709333333346,-1.1148703524395676,36.6405763471313,103500.0,0,0.0,stage772_am40_80_120_oi_monthly,6811006.400000002,45.406709333333346,36.6405763471313,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-27,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,6880006.400000002,45.86670933333335,-0.1130985811369167,36.405489390242415,69000.0,0,0.0,stage772_am40_80_120_oi_monthly,6880006.400000002,45.86670933333335,36.405489390242415,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-28,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7173256.400000002,47.821709333333345,0.0,35.456825438443815,293250.0,0,0.0,stage772_am40_80_120_oi_monthly,7173256.400000002,47.821709333333345,35.456825438443815,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-29,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7041006.400000002,46.940042666666685,-1.8436536020098204,35.87487152404803,-132250.0,0,0.0,stage772_am40_80_120_oi_monthly,7041006.400000002,46.940042666666685,35.87487152404803,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
2024-08-30,stage008_C_full_2018_2026,C: Official + rollover continuation,full_2018_2026,2018-01-01 independent start to 2026-05-29,full_period,150000.0,7041006.400000002,46.940042666666685,-1.8436536020098204,35.87487152404803,0.0,0,0.0,stage772_am40_80_120_oi_monthly,7041006.400000002,46.940042666666685,35.87487152404803,stage008_C_full_2018_2026,,,,2018-01,2018-01,stage008_C_full_2018_2026,full_2018_2026,0.0,2018-01-01,2026-05-29,1.0,0.0,C,2018.0,1.0,C
