trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.539,BACKTESTING.488,2022-12-06 00:00:00+08:00,2022-12-06,00:00:00,sp2301.SHFE,sp2301,SHFE,多,开,7296.0,21.0,21.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.540,BACKTESTING.490,2022-12-07 00:00:00+08:00,2022-12-07,00:00:00,CF305.CZCE,CF305,CZCE,多,开,13600.0,12.0,12.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.541,BACKTESTING.491,2022-12-07 00:00:00+08:00,2022-12-07,00:00:00,SM301.CZCE,SM301,CZCE,空,平,7500.0,25.0,-25.0,BACKTESTING,forced_margin_deleverage,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.542,BACKTESTING.492,2022-12-14 00:00:00+08:00,2022-12-14,00:00:00,hc2301.SHFE,hc2301,SHFE,空,平,4062.0,27.0,-27.0,BACKTESTING,rollover_close,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.543,BACKTESTING.493,2022-12-14 00:00:00+08:00,2022-12-14,00:00:00,hc2305.SHFE,hc2305,SHFE,多,开,4032.0,26.0,26.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.544,BACKTESTING.494,2022-12-15 00:00:00+08:00,2022-12-15,00:00:00,sp2301.SHFE,sp2301,SHFE,空,平,7132.0,21.0,-21.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.545,BACKTESTING.495,2022-12-20 00:00:00+08:00,2022-12-20,00:00:00,CF305.CZCE,CF305,CZCE,空,平,13820.0,12.0,-12.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.546,BACKTESTING.496,2022-12-20 00:00:00+08:00,2022-12-20,00:00:00,SM301.CZCE,SM301,CZCE,空,平,7360.0,24.0,-24.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.547,BACKTESTING.497,2022-12-20 00:00:00+08:00,2022-12-20,00:00:00,hc2305.SHFE,hc2305,SHFE,空,平,3980.0,26.0,-26.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.548,BACKTESTING.498,2022-12-23 00:00:00+08:00,2022-12-23,00:00:00,au2302.SHFE,au2302,SHFE,多,开,410.3,5.0,5.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.549,BACKTESTING.499,2022-12-26 00:00:00+08:00,2022-12-26,00:00:00,au2302.SHFE,au2302,SHFE,空,平,407.44,5.0,-5.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.550,BACKTESTING.500,2022-12-28 00:00:00+08:00,2022-12-28,00:00:00,CF305.CZCE,CF305,CZCE,多,开,14200.0,13.0,13.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.551,BACKTESTING.501,2022-12-29 00:00:00+08:00,2022-12-29,00:00:00,FG305.CZCE,FG305,CZCE,多,开,1657.0,39.0,39.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.552,BACKTESTING.502,2023-01-04 00:00:00+08:00,2023-01-04,00:00:00,MA305.CZCE,MA305,CZCE,多,开,2665.0,44.0,44.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.553,BACKTESTING.503,2023-01-10 00:00:00+08:00,2023-01-10,00:00:00,MA305.CZCE,MA305,CZCE,空,平,2605.0,44.0,-44.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.554,BACKTESTING.504,2023-01-11 00:00:00+08:00,2023-01-11,00:00:00,FG305.CZCE,FG305,CZCE,空,平,1654.0,39.0,-39.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.555,BACKTESTING.505,2023-01-12 00:00:00+08:00,2023-01-12,00:00:00,cu2303.SHFE,cu2303,SHFE,多,开,68020.0,3.0,3.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.556,BACKTESTING.506,2023-01-12 00:00:00+08:00,2023-01-12,00:00:00,rb2305.SHFE,rb2305,SHFE,多,开,4152.0,18.0,18.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.557,BACKTESTING.507,2023-01-13 00:00:00+08:00,2023-01-13,00:00:00,CF305.CZCE,CF305,CZCE,空,平,14395.0,13.0,-13.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.558,BACKTESTING.508,2023-01-17 00:00:00+08:00,2023-01-17,00:00:00,rb2305.SHFE,rb2305,SHFE,空,平,4084.0,18.0,-18.0,BACKTESTING,long_base_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.559,BACKTESTING.509,2023-01-18 00:00:00+08:00,2023-01-18,00:00:00,MA305.CZCE,MA305,CZCE,多,开,2690.0,21.0,21.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.560,BACKTESTING.510,2023-01-20 00:00:00+08:00,2023-01-20,00:00:00,CF305.CZCE,CF305,CZCE,多,开,14790.0,24.0,24.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.561,BACKTESTING.511,2023-01-30 00:00:00+08:00,2023-01-30,00:00:00,CF305.CZCE,CF305,CZCE,空,平,15050.0,24.0,-24.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.562,BACKTESTING.512,2023-02-01 00:00:00+08:00,2023-02-01,00:00:00,cu2303.SHFE,cu2303,SHFE,空,平,69030.0,3.0,-3.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.563,BACKTESTING.513,2023-02-03 00:00:00+08:00,2023-02-03,00:00:00,MA305.CZCE,MA305,CZCE,空,平,2680.0,21.0,-21.0,BACKTESTING,long_prev2day_stop,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.564,BACKTESTING.514,2023-02-14 00:00:00+08:00,2023-02-14,00:00:00,fu2305.SHFE,fu2305,SHFE,多,开,2817.0,53.0,53.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.565,BACKTESTING.515,2023-02-15 00:00:00+08:00,2023-02-15,00:00:00,fu2305.SHFE,fu2305,SHFE,空,平,2810.0,53.0,-53.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.566,BACKTESTING.516,2023-02-17 00:00:00+08:00,2023-02-17,00:00:00,fu2305.SHFE,fu2305,SHFE,多,开,2895.0,49.0,49.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.567,BACKTESTING.517,2023-02-20 00:00:00+08:00,2023-02-20,00:00:00,fu2305.SHFE,fu2305,SHFE,空,平,2868.0,49.0,-49.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.568,BACKTESTING.518,2023-02-21 00:00:00+08:00,2023-02-21,00:00:00,hc2305.SHFE,hc2305,SHFE,多,开,4264.0,51.0,51.0,BACKTESTING,,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
BACKTESTING.569,BACKTESTING.519,2023-02-22 00:00:00+08:00,2023-02-22,00:00:00,hc2305.SHFE,hc2305,SHFE,空,平,4302.0,51.0,-51.0,BACKTESTING,long_risk_cluster_heat_deleverage,stage060_C_stage037_no_ai_static18_plus_fu,2018-01,stage060_C_stage037_no_ai_static18_plus_fu,150000.0,150000.0,C
