trade_id,order_id,datetime,date,time,vt_symbol,symbol,exchange,direction,offset,price,volume,signed_volume,gateway_name,exit_reason,profile,start_month,variant,account_capital,c3_capital,experiment_arm
BACKTESTING.494,BACKTESTING.426,2022-07-07 00:00:00+08:00,2022-07-07,00:00:00,hc2210.SHFE,hc2210,SHFE,空,开,4238.0,158.0,-158.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.495,BACKTESTING.427,2022-07-07 00:00:00+08:00,2022-07-07,00:00:00,rb2210.SHFE,rb2210,SHFE,空,开,4250.0,126.0,-126.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.496,BACKTESTING.428,2022-07-19 00:00:00+08:00,2022-07-19,00:00:00,fu2209.SHFE,fu2209,SHFE,多,平,3094.0,84.0,84.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.497,BACKTESTING.429,2022-07-19 00:00:00+08:00,2022-07-19,00:00:00,jm2209.DCE,jm2209,DCE,多,平,2095.5,21.0,21.0,BACKTESTING,short_base_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.498,BACKTESTING.430,2022-07-21 00:00:00+08:00,2022-07-21,00:00:00,hc2210.SHFE,hc2210,SHFE,多,平,3821.0,158.0,158.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.499,BACKTESTING.431,2022-07-21 00:00:00+08:00,2022-07-21,00:00:00,rb2210.SHFE,rb2210,SHFE,多,平,3823.0,126.0,126.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.500,BACKTESTING.432,2022-08-22 00:00:00+08:00,2022-08-22,00:00:00,SM209.CZCE,SM209,CZCE,空,开,7078.0,263.0,-263.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.501,BACKTESTING.433,2022-08-24 00:00:00+08:00,2022-08-24,00:00:00,SM209.CZCE,SM209,CZCE,多,平,7230.0,263.0,263.0,BACKTESTING,short_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.502,BACKTESTING.434,2022-08-25 00:00:00+08:00,2022-08-25,00:00:00,AP210.CZCE,AP210,CZCE,多,开,9113.0,122.0,122.0,BACKTESTING,,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
BACKTESTING.503,BACKTESTING.435,2022-08-31 00:00:00+08:00,2022-08-31,00:00:00,AP210.CZCE,AP210,CZCE,空,平,9096.0,122.0,-122.0,BACKTESTING,long_prev2day_stop,stage847_c9_15w_stage819_05r_stop_retry_live,2018-01,stage847_c9_15w_stage819_05r_stop_retry_live,150000.0,150000.0,C
