tq_symbol,exchange,symbol,status,rows,file_path,message,updated_at
CFFEX.IC2303,CFFEX,IC2303,downloaded,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2303.csv,,2026-04-22T13:31:43
CFFEX.IC2304,CFFEX,IC2304,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2304.csv,,2026-04-22T13:31:43
CFFEX.IC2305,CFFEX,IC2305,downloaded,41,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2305.csv,,2026-04-22T13:31:43
CFFEX.IC2306,CFFEX,IC2306,downloaded,160,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2306.csv,,2026-04-22T13:31:44
CFFEX.IC2307,CFFEX,IC2307,downloaded,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2307.csv,,2026-04-22T13:31:44
CFFEX.IC2308,CFFEX,IC2308,downloaded,43,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2308.csv,,2026-04-22T13:31:44
CFFEX.IC2309,CFFEX,IC2309,downloaded,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2309.csv,,2026-04-22T13:31:44
CFFEX.IC2310,CFFEX,IC2310,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2310.csv,,2026-04-22T13:31:44
CFFEX.IC2311,CFFEX,IC2311,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2311.csv,,2026-04-22T13:31:44
CFFEX.IC2312,CFFEX,IC2312,downloaded,159,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2312.csv,,2026-04-22T13:31:44
CFFEX.IC2401,CFFEX,IC2401,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2401.csv,,2026-04-22T13:31:44
CFFEX.IC2402,CFFEX,IC2402,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2402.csv,,2026-04-22T13:31:44
CFFEX.IC2403,CFFEX,IC2403,downloaded,157,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2403.csv,,2026-04-22T13:31:45
CFFEX.IC2404,CFFEX,IC2404,downloaded,42,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2404.csv,,2026-04-22T13:31:45
CFFEX.IC2405,CFFEX,IC2405,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2405.csv,,2026-04-22T13:31:45
CFFEX.IC2406,CFFEX,IC2406,downloaded,162,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2406.csv,,2026-04-22T13:31:45
CFFEX.IC2407,CFFEX,IC2407,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2407.csv,,2026-04-22T13:31:45
CFFEX.IC2408,CFFEX,IC2408,downloaded,40,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2408.csv,,2026-04-22T13:31:45
CFFEX.IC2409,CFFEX,IC2409,downloaded,161,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2409.csv,,2026-04-22T13:31:45
CFFEX.IC2410,CFFEX,IC2410,downloaded,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2410.csv,,2026-04-22T13:31:45
CFFEX.IC2411,CFFEX,IC2411,downloaded,35,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2411.csv,,2026-04-22T13:31:46
CFFEX.IC2412,CFFEX,IC2412,downloaded,164,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2412.csv,,2026-04-22T13:31:46
CFFEX.IC2501,CFFEX,IC2501,downloaded,44,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2501.csv,,2026-04-22T13:31:46
CFFEX.IC2502,CFFEX,IC2502,downloaded,38,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2502.csv,,2026-04-22T13:31:46
CFFEX.IC2503,CFFEX,IC2503,downloaded,161,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2503.csv,,2026-04-22T13:31:46
CFFEX.IC2504,CFFEX,IC2504,downloaded,39,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2504.csv,,2026-04-22T13:31:46
CFFEX.IC2505,CFFEX,IC2505,downloaded,36,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2505.csv,,2026-04-22T13:31:46
CFFEX.IC2506,CFFEX,IC2506,downloaded,163,/Users/bytedance/Desktop/person/vnpy/examples/portfolio_backtesting/downloaded_futures/tqsdk_daily_2010_2026_04/CFFEX/IC2506.csv,,2026-04-22T13:31:46
