window_id,window_group,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,A_end_equity,C_end_equity,A_return_pct,C_return_pct,delta_return_pct,A_max_dd_pct,C_max_dd_pct,dd_worsening_pp,A_sharpe,C_sharpe,delta_sharpe,A_slippage,C_slippage,A_trades,C_trades,A_win_rate_pct,C_win_rate_pct,A_survival_pass,C_survival_pass,A_broker100_pass,C_broker100_pass,return_win,C_positive,A_positive,dd_noninferior_2pp,sharpe_noninferior_005,A_dd40_fail,C_dd40_fail,A_dd50_fail,C_dd50_fail
roll_2y_2019_06,rolling_2y,2,2019-06-01,2021-05-31,1,0,1273024.7999999998,1450380.4,748.6831999999998,866.9202666666665,118.23706666666669,-23.2753490832858,-23.348251459737412,0.07290237645161213,2.70527236035145,2.706704143770846,0.0014317834193962042,39030.0,39990.0,250,248,58.791208791208796,58.56079404466501,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_2y_2020_01,rolling_2y,2,2020-01-01,2021-12-31,1,0,1913477.8000000007,1973829.0000000005,1175.6518666666673,1215.8860000000002,40.23413333333292,-28.982930399297523,-31.438862975676983,2.4559325763794604,2.5272959020841173,2.5020686732976802,-0.025227228786437017,68300.0,69740.0,266,265,58.291457286432156,58.040201005025125,1,1,1,1,1,1,1,0,1,0,0,0,0
roll_2y_2020_06,rolling_2y,2,2020-06-01,2022-05-31,1,0,1358960.2999999998,1052261.7999999993,805.9735333333332,601.5078666666662,-204.46566666666695,-41.58000314935543,-50.93325327930995,9.353250129954525,2.0645563833646,1.8271933162417544,-0.23736306712284572,96250.0,90400.0,282,285,56.79012345679012,55.23114355231144,1,1,1,1,0,1,1,0,0,1,1,0,1
roll_2y_2021_01,rolling_2y,2,2021-01-01,2022-12-31,1,0,885098.7999999997,886278.7999999997,490.06586666666647,490.85253333333316,0.7866666666666902,-41.39290613939753,-41.432791291221804,0.039885151824272214,1.732073026296609,1.7311674783494033,-0.0009055479472057648,60620.0,60620.0,225,225,54.054054054054056,53.753753753753756,1,1,1,1,1,1,1,1,1,1,1,0,0
roll_2y_2021_06,rolling_2y,2,2021-06-01,2023-05-31,1,0,177420.0,182310.0,18.28000000000001,21.540000000000003,3.2599999999999945,-47.63436734452938,-48.53489159891598,0.9005242543866032,0.41308606819049215,0.4449981010297625,0.031912032839270355,14080.0,14560.0,194,194,46.95945945945946,47.61904761904761,1,1,1,1,1,1,1,1,1,1,1,0,0
roll_2y_2022_01,rolling_2y,2,2022-01-01,2023-12-31,1,0,136010.0,131085.0,-9.326666666666672,-12.61,-3.283333333333328,-39.982045671323576,-46.06962380685008,6.087578135526506,0.04137843196742188,0.02019989473191081,-0.02117853723551107,6620.0,7070.0,137,137,45.8498023715415,45.78313253012048,1,1,1,1,0,0,0,0,1,0,1,0,0
roll_2y_2022_06,rolling_2y,2,2022-06-01,2024-05-31,1,0,256045.0,252405.0,70.69666666666667,68.27000000000001,-2.4266666666666623,-50.299468443512765,-50.87968855281875,0.5802201093059836,0.8671433036432954,0.8472721368561048,-0.019871166787190586,11970.0,12100.0,138,142,50.57034220532319,50.378787878787875,1,1,1,1,0,1,1,1,1,1,1,1,1
roll_2y_2023_01,rolling_2y,2,2023-01-01,2024-12-31,1,0,225800.00000000003,231565.00000000003,50.53333333333336,54.376666666666694,3.8433333333333337,-24.468997361477573,-24.468997361477573,0.0,0.883901042430412,0.9282790121541393,0.04437796972372732,10370.0,10660.0,141,143,52.51572327044025,52.83018867924528,1,1,1,1,1,1,1,1,1,0,0,0,0
roll_2y_2023_06,rolling_2y,2,2023-06-01,2025-05-31,1,0,276025.0,257985.00000000003,84.01666666666668,71.99000000000002,-12.026666666666657,-19.70811580446131,-19.702136922686197,0.0,1.2045366583808412,1.0860095712403763,-0.11852708714046489,15270.0,14890.0,163,169,51.632047477744806,52.03488372093024,1,1,1,1,0,1,1,1,0,0,0,0,0
roll_2y_2024_01,rolling_2y,2,2024-01-01,2025-12-31,1,0,341276.20000000007,342791.20000000007,127.5174666666667,128.5274666666667,1.009999999999991,-22.562159686529924,-22.375140359066858,0.0,1.3913092407959873,1.3979219782466952,0.006612737450707895,15870.0,16540.0,149,155,52.14521452145215,52.28758169934641,1,1,1,1,1,1,1,1,1,0,0,0,0
