date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm,window_id,duration_years,requested_start,requested_end,complete_window,terminal_near_complete,promotion_arm,start_year,start_month_num
2020-08-10 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,209780.00000000003,1.3985333333333336,-2.6271815818789457,24.268795881399562,-5660.0,0,0.0,stage772_am40_80_120_oi_monthly,209780.00000000003,1.3985333333333336,24.268795881399562,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-11 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,220690.00000000003,1.471266666666667,0.0,13.996103131088859,10910.0,1,50.0,stage772_am40_80_120_oi_monthly,220690.00000000003,1.471266666666667,13.996103131088859,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-12 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,215530.00000000003,1.436866666666667,-2.3381213466853956,14.015162622372754,-5160.0,0,0.0,stage772_am40_80_120_oi_monthly,215530.00000000003,1.436866666666667,14.015162622372754,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-13 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,213250.00000000003,1.4216666666666669,-3.371244732430101,14.023878077373972,-2280.0,0,0.0,stage772_am40_80_120_oi_monthly,213250.00000000003,1.4216666666666669,14.023878077373972,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-14 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,212050.00000000003,1.4136666666666668,-3.91499388282206,14.028540438575806,-1200.0,0,0.0,stage772_am40_80_120_oi_monthly,212050.00000000003,1.4136666666666668,14.028540438575806,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-17 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,214450.00000000003,1.4296666666666669,-2.827495582038153,42.185833527628816,2400.0,1,240.0,stage772_am40_80_120_oi_monthly,214450.00000000003,1.4296666666666669,42.185833527628816,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-18 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,213250.00000000003,1.4216666666666669,-3.371244732430101,42.36379835873388,-1200.0,0,0.0,stage772_am40_80_120_oi_monthly,213250.00000000003,1.4216666666666669,42.36379835873388,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-19 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,210730.00000000003,1.404866666666667,-4.513117948253209,42.36678213828121,-2520.0,2,240.0,stage772_am40_80_120_oi_monthly,210730.00000000003,1.404866666666667,42.36678213828121,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-20 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,211450.00000000003,1.4096666666666668,-4.186868458018034,0.0,720.0,2,360.0,stage772_am40_80_120_oi_monthly,211450.00000000003,1.4096666666666668,0.0,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-21 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,211450.00000000003,1.4096666666666668,-4.186868458018034,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,211450.00000000003,1.4096666666666668,0.0,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-24 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,214570.00000000003,1.4304666666666668,-2.7731206669989628,28.58144195367479,3120.0,1,240.0,stage772_am40_80_120_oi_monthly,214570.00000000003,1.4304666666666668,28.58144195367479,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-25 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,209275.00000000003,1.3951666666666669,-5.1724137931034475,57.91852825229961,-5295.0,1,175.0,stage772_am40_80_120_oi_monthly,209275.00000000003,1.3951666666666669,57.91852825229961,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-26 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,217700.00000000003,1.4513333333333336,-1.3548416330599444,56.11515847496554,8425.0,0,0.0,stage772_am40_80_120_oi_monthly,217700.00000000003,1.4513333333333336,56.11515847496554,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-27 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,222020.00000000003,1.4801333333333335,0.0,55.237320962075486,4320.0,0,0.0,stage772_am40_80_120_oi_monthly,222020.00000000003,1.4801333333333335,55.237320962075486,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-28 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,229595.00000000003,1.5306333333333335,0.0,53.79289618676364,7575.0,0,0.0,stage772_am40_80_120_oi_monthly,229595.00000000003,1.5306333333333335,53.79289618676364,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
2020-08-31 00:00:00,stage059_C_roll_1y_2020_01,C: Stage056 Top14+fu（15品种）,roll_1y_2020_01,2020-01-01 independent start to 2020-12-31,rolling_1y,150000.0,254760.00000000003,1.6984000000000001,0.0,49.59455958549223,25165.0,0,0.0,stage772_am40_80_120_oi_monthly,254760.00000000003,1.6984000000000001,49.59455958549223,stage059_C_roll_1y_2020_01,,,,2020-01,2020-01,stage059_C_roll_1y_2020_01,C,roll_1y_2020_01,1,2020-01-01,2020-12-31,1,0,C,2020,1
