requested_top_n,eval_date,actual_ranked_count,actual_total_count,formal_top8_preserved,fixed_fu_present,member_signature
11,2022-01-28,11,12,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,si.GFEX,sp.SHFE"
11,2022-02-28,11,12,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,sp.SHFE"
11,2022-03-31,11,12,True,True,"FG.CZCE,MA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,si.GFEX"
11,2022-04-29,11,12,True,True,"CF.CZCE,FG.CZCE,MA.CZCE,SM.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE"
11,2022-05-31,11,12,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,SM.CZCE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,ru.SHFE,sp.SHFE"
11,2022-06-30,11,12,True,True,"AP.CZCE,CF.CZCE,FG.CZCE,MA.CZCE,OI.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lh.DCE,rb.SHFE,sp.SHFE"
11,2022-07-29,11,12,True,True,"AP.CZCE,FG.CZCE,SA.CZCE,SH.CZCE,SM.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,rb.SHFE,si.GFEX"
11,2022-08-31,11,12,True,True,"FG.CZCE,MA.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
11,2022-09-30,11,12,True,True,"FG.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX,sp.SHFE"
11,2022-10-31,11,12,True,True,"FG.CZCE,OI.CZCE,SH.CZCE,au.SHFE,cu.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,si.GFEX,sp.SHFE"
11,2022-11-30,11,12,True,True,"AP.CZCE,MA.CZCE,SH.CZCE,au.SHFE,fu.SHFE,hc.SHFE,jm.DCE,lc.GFEX,lh.DCE,rb.SHFE,ru.SHFE,si.GFEX"
