date,variant,label,window_name,window_label,window_group,account_capital,account_equity,nav,drawdown_pct,broker10_margin_to_equity_pct,net_pnl,trade_count,total_slippage,source_name,rebased_equity,rebased_nav,broker10_margin_to_rebased_equity_pct,profile,oi_mode,am_label,declared_am_size,requested_start_month,start_month,arm,experiment_arm,requested_top_n,actual_ranked_count,actual_total_count
2023-07-06 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3706183.799999999,24.70789199999999,-43.43191301462427,0.0,33080.0,2,6630.0,stage772_am40_80_120_oi_monthly,3706183.799999999,24.70789199999999,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-07 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3706183.799999999,24.70789199999999,-43.43191301462427,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,3706183.799999999,24.70789199999999,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-10 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3600383.799999999,24.00255866666666,-45.04675564683607,41.62249591279687,-105800.0,1,4600.0,stage772_am40_80_120_oi_monthly,3600383.799999999,24.00255866666666,41.62249591279687,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-11 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3552703.799999999,23.68469199999999,-45.77450325273266,15.416864192280824,-47680.0,2,5960.0,stage772_am40_80_120_oi_monthly,3552703.799999999,23.68469199999999,15.416864192280824,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-12 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3834013.799999999,25.56009199999999,-41.48082290426854,67.76540240934972,281310.0,3,7155.0,stage772_am40_80_120_oi_monthly,3834013.799999999,25.56009199999999,67.76540240934972,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-13 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3865828.799999999,25.772191999999993,-40.99522537738935,67.03771413778078,31815.0,0,0.0,stage772_am40_80_120_oi_monthly,3865828.799999999,25.772191999999993,67.03771413778078,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-14 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4036048.799999999,26.906991999999992,-38.397129792747634,64.78490497934516,170220.0,0,0.0,stage772_am40_80_120_oi_monthly,4036048.799999999,26.906991999999992,64.78490497934516,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-17 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3600868.799999999,24.005791999999992,-45.03935301284153,71.1786905426824,-435180.0,0,0.0,stage772_am40_80_120_oi_monthly,3600868.799999999,24.005791999999992,71.1786905426824,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-18 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3584188.799999999,23.894591999999992,-45.29394256960233,15.176254108042531,-16680.0,3,7155.0,stage772_am40_80_120_oi_monthly,3584188.799999999,23.894591999999992,15.176254108042531,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-19 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3718268.799999999,24.78845866666666,-43.247457691275685,38.81257858495869,134080.0,2,4610.0,stage772_am40_80_120_oi_monthly,3718268.799999999,24.78845866666666,38.81257858495869,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-20 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3741018.799999999,24.940125333333327,-42.90022073586152,0.0,22750.0,1,3250.0,stage772_am40_80_120_oi_monthly,3741018.799999999,24.940125333333327,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-21 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3741018.799999999,24.940125333333327,-42.90022073586152,0.0,0.0,0,0.0,stage772_am40_80_120_oi_monthly,3741018.799999999,24.940125333333327,0.0,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-24 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3699578.799999999,24.66385866666666,-43.53272620541594,30.17203471919562,-41440.0,1,2590.0,stage772_am40_80_120_oi_monthly,3699578.799999999,24.66385866666666,30.17203471919562,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-25 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,3996788.799999999,26.64525866666666,-38.9963615672338,66.20635296015644,297210.0,1,2720.0,stage772_am40_80_120_oi_monthly,3996788.799999999,26.64525866666666,66.20635296015644,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-26 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4035888.799999999,26.905925333333325,-38.39957189880769,28.596672435573556,39100.0,1,2720.0,stage772_am40_80_120_oi_monthly,4035888.799999999,26.905925333333325,28.596672435573556,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-27 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4121498.799999999,27.47665866666666,-37.09289252504916,66.87596269590084,85610.0,1,1750.0,stage772_am40_80_120_oi_monthly,4121498.799999999,27.47665866666666,66.87596269590084,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-28 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4212578.799999999,28.08385866666666,-35.702723650362465,48.51276135178767,91080.0,2,2500.0,stage772_am40_80_120_oi_monthly,4212578.799999999,28.08385866666666,48.51276135178767,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-07-31 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4099358.799999999,27.329058666666658,-37.43081895110936,49.533931989558965,-113220.0,0,0.0,stage772_am40_80_120_oi_monthly,4099358.799999999,27.329058666666658,49.533931989558965,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-08-01 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4318468.799999999,28.78979199999999,-34.08650733349189,60.88982743142664,219110.0,1,2500.0,stage772_am40_80_120_oi_monthly,4318468.799999999,28.78979199999999,60.88982743142664,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
2023-08-02 00:00:00,stage061_top15_plus_fu,Top15+fu（实际16品种）,mstart_2018_01,2018-01 independent start to 2026-05-29,yearly_start,150000.0,4154748.799999999,27.69832533333333,-36.58539235944384,62.84861313396374,-163720.0,0,0.0,stage772_am40_80_120_oi_monthly,4154748.799999999,27.69832533333333,62.84861313396374,stage061_top15_plus_fu,,,,2018-01,2018-01,stage061_top15_plus_fu,T15,15,15,16
