logical_path,payload_path,role,storage,size_bytes,sha256,source_path
examples/portfolio_backtesting/analyze_qmt_roll_stage772_am40_80_120_oi_monthly.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage772_am40_80_120_oi_monthly.py,runtime_code,git,32998,5fbfe1cd84909b0c71df7a5b8f2042b9870e188709f43781bdb3a72fd806c6f5,examples/portfolio_backtesting/analyze_qmt_roll_stage772_am40_80_120_oi_monthly.py
examples/portfolio_backtesting/analyze_qmt_roll_stage777_am41_oi08_monthly.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage777_am41_oi08_monthly.py,runtime_code,git,22386,9866109dcfcfc6d0e17b1dcfd79cb4c8e80795856d63d4c77230613a2e0acb7e,examples/portfolio_backtesting/analyze_qmt_roll_stage777_am41_oi08_monthly.py
examples/portfolio_backtesting/analyze_qmt_roll_stage778_stage777_2022_drawdown_forensics.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage778_stage777_2022_drawdown_forensics.py,runtime_code,git,27587,77d65d65343df02f9317747ef5f2f30c1f8471424ba4220b61f7f3bd3c81e2fc,examples/portfolio_backtesting/analyze_qmt_roll_stage778_stage777_2022_drawdown_forensics.py
examples/portfolio_backtesting/analyze_qmt_roll_stage799_stage777_long_lower_high_block_2020.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage799_stage777_long_lower_high_block_2020.py,runtime_code,git,15574,3fc39c49006cbee85503adea5dce9436556fab0184d2e1698c2789e20123d18f,examples/portfolio_backtesting/analyze_qmt_roll_stage799_stage777_long_lower_high_block_2020.py
examples/portfolio_backtesting/analyze_qmt_roll_stage800_stage777_long_lower_high_block_yearly.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage800_stage777_long_lower_high_block_yearly.py,runtime_code,git,20149,45de71cc040bd9df089c1397071fe71a9314df7b92a665576f76aae67f267a2e,examples/portfolio_backtesting/analyze_qmt_roll_stage800_stage777_long_lower_high_block_yearly.py
examples/portfolio_backtesting/analyze_qmt_roll_stage804_stage777_long_tighter_initial_stop_yearly.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage804_stage777_long_tighter_initial_stop_yearly.py,runtime_code,git,19355,ae33da36e944a50c9d8fdd48f7149555b30f1168c2d3b557cfd268b4f9535e57,examples/portfolio_backtesting/analyze_qmt_roll_stage804_stage777_long_tighter_initial_stop_yearly.py
examples/portfolio_backtesting/analyze_qmt_roll_stage813_stage804_rsi_partial_exit_ablation_yearly.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage813_stage804_rsi_partial_exit_ablation_yearly.py,runtime_code,git,13863,7aa31e325a3dcd47c17f8cd95d84d470f6ee6513b148b0d668d61134b9efbda8,examples/portfolio_backtesting/analyze_qmt_roll_stage813_stage804_rsi_partial_exit_ablation_yearly.py
examples/portfolio_backtesting/analyze_qmt_roll_stage825_stage819_intraday_rule_forensics.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage825_stage819_intraday_rule_forensics.py,runtime_code,git,36245,400fb94ff25b54c31c4c2f8204c1ee60d1788e24ee93a6be8a37c8a4d6e3f0fa,examples/portfolio_backtesting/analyze_qmt_roll_stage825_stage819_intraday_rule_forensics.py
examples/portfolio_backtesting/analyze_qmt_roll_stage826_stage819_intraday_ac_overlay.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage826_stage819_intraday_ac_overlay.py,runtime_code,git,53372,bde3391b28b520f832ffac60528a1ad18c7a415f4431ad45edd0dbe63bea17b2,examples/portfolio_backtesting/analyze_qmt_roll_stage826_stage819_intraday_ac_overlay.py
examples/portfolio_backtesting/analyze_qmt_roll_stage827_stage819_intraday_c2_engine_ac.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage827_stage819_intraday_c2_engine_ac.py,runtime_code,git,27036,9a63510355854349385c2309654101eb99432ddddf81c13636bc3dbbbde136f0,examples/portfolio_backtesting/analyze_qmt_roll_stage827_stage819_intraday_c2_engine_ac.py
examples/portfolio_backtesting/analyze_qmt_roll_stage830_stage827_c2_broker10_margin_cap.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage830_stage827_c2_broker10_margin_cap.py,runtime_code,git,28868,0adf455e167b8dbfde51a4687098dba91a6788b13b7a1a81020c260d0af32647,examples/portfolio_backtesting/analyze_qmt_roll_stage830_stage827_c2_broker10_margin_cap.py
examples/portfolio_backtesting/analyze_qmt_roll_stage840_stage830_c4_120m_failfast_engine.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage840_stage830_c4_120m_failfast_engine.py,runtime_code,git,34475,c9d37be2560278b20eb358a4767f05a25d579f856b9940eac1feee6a0b5a4d7d,examples/portfolio_backtesting/analyze_qmt_roll_stage840_stage830_c4_120m_failfast_engine.py
examples/portfolio_backtesting/analyze_qmt_roll_stage847_stage830_c4_stop_retry_engine.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage847_stage830_c4_stop_retry_engine.py,runtime_code,git,53091,05e774227a4d19eb7bdffc532a2e9a6c4d87c688f480e2bd0dabccf366c35f50,examples/portfolio_backtesting/analyze_qmt_roll_stage847_stage830_c4_stop_retry_engine.py
examples/portfolio_backtesting/analyze_qmt_roll_stage861_stage860_full_visual_atlas.py,payload/examples/portfolio_backtesting/analyze_qmt_roll_stage861_stage860_full_visual_atlas.py,runtime_code,git,28442,276a40a417740c1d0417e76b5e34d566db6cd371b4f2dfc0d2f9b6423be1bc11,examples/portfolio_backtesting/analyze_qmt_roll_stage861_stage860_full_visual_atlas.py
